# Expected values for `scripts/ctgrind.sh --check`. One row per CLAIM row of
# the table — i.e. per (module, optimize mode, harness target) measured with
# the secret TAINTED and the binary built WITH `-fvalgrind`.
#
# The control rows (untainted) and trap rows (no `-fvalgrind`) are not listed:
# the script requires 0 from every one of them unconditionally, since a
# non-zero there means the measurement itself is broken, never that the module
# changed.
#
# Deliberately NOT a diff of exact totals. `total` includes the harness's own
# non-constant-time hex formatter and whatever std internals it reaches, so it
# moves with a zig or valgrind upgrade for reasons that say nothing about the
# module — and a check that goes red for the wrong reason gets muted, which is
# worse than no check. `total_min` therefore only asserts that the propagation
# witness fired at all (a zero total would mean the taint never arrived, which
# would make every in-file zero meaningless).
#
# `in_file` accepts an exact count or a `>=N` / `<=N` bound:
#   exact  — the number a SPEC.md states as a fact about the module. Every
#            claimed zero is exact, and so are the two small non-zeros that
#            are documented line by line (ed448's three `Fe.invert`
#            validations; ecvrf's three try-and-increment branches on the
#            PUBLIC H).
#   bound  — counts a compiler or std change may legitimately move, where only
#            the direction is load-bearing: the ReleaseSafe/Debug
#            overflow-check floods that are chachapoly's positive control, and
#            std's `rejectIdentity` context that ct25519's negative control
#            needs only to EXIST.
#
# Measured 2026-08-11, zig 0.16.0, valgrind 3.26.0, x86_64 (i7-7920HQ),
# `poly1305.lanes = 4`. Change a number here only together with the module's
# SPEC.md table, and only after re-running the harness.
#
# module	mode	target	total_min	in_file
chachapoly	ReleaseFast	poly1305	1	0
chachapoly	ReleaseSafe	poly1305	1	>=1
chachapoly	Debug	poly1305	1	>=1
ct25519	ReleaseFast	ct25519	1	0
ct25519	ReleaseFast	std	1	>=1
decaf448	ReleaseFast	scalarmul	1	0
ecvrf	ReleaseFast	prove	1	3
ed448	ReleaseFast	full	1	3
ed448	ReleaseFast	ladder	1	0
