324 32 0:28 /snapd/ns /run/snapd/ns rw,nosuid,nodev,noexec,relatime - tmpfs tmpfs rw,size=3270524k,mode=755,inode64
7703 34 7:32 / /snap/teams-for-linux/2244 ro,nodev,relatime shared:845 - squashfs /dev/loop32 ro,errors=continue,threads=single
45 32 0:36 / /run/credentials/systemd-journald.service rw,nosuid,nodev,noexec,relatime,nosymfollow shared:18 - tmpfs none ro,size=1024k,nr_inodes=1024,mode=700,inode64,noswap
52 32 0:39 / /run/credentials/systemd-resolved.service rw,nosuid,nodev,noexec,relatime,nosymfollow shared:21 - tmpfs none ro,size=1024k,nr_inodes=1024,mode=700,inode64,noswap
60 34 7:25 / /snap/obsidian/66 ro,nodev,relatime shared:895 - squashfs /dev/loop25 ro,errors=continue,threads=single
2734 34 7:33 / /snap/firefox/8749 ro,nodev,relatime shared:913 - squashfs /dev/loop33 ro,errors=continue,threads=single
54 34 7:7 / /snap/firefox/8752 ro,nodev,relatime shared:69 - squashfs /dev/loop7 ro,errors=continue,threads=single
2672 324 0:5 mnt:[4026532365] /run/snapd/ns/firefox.mnt rw - nsfs nsfs rw
4099 34 7:8 / /snap/snapd/27710 ro,nodev,relatime shared:1483 - squashfs /dev/loop8 ro,errors=continue,threads=single
262 34 7:24 / /snap/obsidian/67 ro,nodev,relatime shared:132 - squashfs /dev/loop24 ro,errors=continue,threads=single
5930 324 0:5 mnt:[4026536012] /run/snapd/ns/thunderbird.mnt rw - nsfs nsfs rw
271 34 7:19 / /snap/core22/2437 ro,nodev,relatime shared:66 - squashfs /dev/loop19 ro,errors=continue,threads=single
